,Fixed-broadband subscriptions,,,,,,,,,,,,,,,,,,Fixed-broadband subscriptions per 100 inhabitants,,,,,,,,,,,,,,,,,,Metadata for fixed-broadband subscriptions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,,,20,123,750,1'564,11'419,169'806,477'980,1'092'290,1'666'631,2'098'068,2'531'842,2'785'842,2'684'347,2'903'497,3'067'529,,,,0.00,0.00,0.01,0.02,0.12,1.77,5.00,11.47,17.56,22.20,26.92,29.77,28.84,31.36,33.30,,,,,,,Beltelecom.,,Ministry of Communications and Informatization.,,Ministry of Communications and Informatization.,,Ministry of Communications and Informatization.,,Ministry of Communications and Informatization.,,ITU estimate based on Beltelecom data.,Incl. fixed wireless broadband.,Ministry of Communications and Informatization.,Incl. fixed wireless broadband.,Ministry of Communications and Informatization.,Incl. fixed wireless broadband.,Ministry of Communications and Informatization,Incl. fixed wireless broadband.,Ministry of Communications and Informatization,Incl. fixed wireless broadband.,Ministry of Communications and Informatization,,Ministry of Communications and Informatization,,Ministry of Communications and Informatization,,Ministry of Communications and Informatization,,Ministry of Communications and Informatization
Belgium,144'215,460'011,815'418,1'242'928,1'619'944,2'010'584,2'451'585,2'729'624,2'982'500,3'153'262,3'373'143,3'543'759,3'692'009,3'828'918,4'011'201,4'121'049,4'265'026,1,1.40,4.47,7.89,11.97,15.52,19.13,23.15,25.56,27.69,29.03,30.83,32.20,33.38,34.48,35.99,36.85,38.01,,,Institut belge des services postaux et des télécommunications (IBPT).,,Institut belge des services postaux et des télécommunications (IBPT).,,Institut belge des services postaux et des télécommunications (IBPT).,,Institut belge des services postaux et des télécommunications (IBPT).,,Institut belge des services postaux et des télécommunications (IBPT).,,Institut belge des services postaux et des télécommunications (IBPT).,,Institut belge des services postaux et des télécommunications (IBPT).,,IBPT,,IBPT,,IBPT,,Belgian Institute for Postal Services and Telecommunications ,,Belgian Institute for Postal Services and Telecommunications ,,Belgian Institute for Postal Services and Telecommunications ,,Belgian Institute for Postal Services and Telecommunications ,,Belgian Institute for Postal Services and Telecommunications ,,Belgian Institute for Postal Services and Telecommunications ,,Belgian Institute for Postal Services and Telecommunications 
Belize,,,,940,2'827,5'022,7'245,7'480,8'047,8'340,8'915,9'698,9'973,9'900,9'900,17'379,22'000,,,,,0.36,1.07,1.85,2.60,2.61,2.74,2.77,2.89,3.07,3.08,2.98,2.91,5.00,6.19,,,,,,,,,,,,,,,Belize Telemedia Limited,,Belize Telemedia Limited,,Belize Telemedia Limited,,Belize Telemedia Limited,,Belize Telemedia Limited,,Belize Telemedia Limited,,Belize Telemedia Limited,,ITU estimate.,,ITU estimate.,"Incl Ded Inet, HSI & EVDO.",Belize Telemedia Limited,,ITU estimate.
Benin,,,21,21,81,196,1'498,710,8'424,19'061,27'034,37'535,41'761,42'477,45'419,73'263,90'960,,,,0.00,0.00,0.00,0.00,0.02,0.01,0.09,0.21,0.28,0.38,0.42,0.41,0.43,0.67,0.81,,,,,,,,,,,,,Autorité Transitoire de Régulation des Postes et Télécommunications,,Autorité Transitoire de Régulation des Postes et Télécommunications,Excluding fixed wireless.,Autorité Transitoire de Régulation des Postes et Télécommunications,,Autorité Transitoire de Régulation des Postes et Télécommunications,,Autorité Transitoire de Régulation des Postes et Télécommunications.,,Autorité transitoire de régulation des postes et télécommunications du Bénin,,Autorité de Régulation des Communications Electroniques et de la Poste (ARCEP- Bénin),,Autorité de Régulation des Communications Electroniques et de la Poste (ARCEP- Bénin),,Autorité de Régulation des Communications Electroniques et de la Poste (ARCEP- Bénin),,Autorité de Régulation des Communications Electroniques et de la Poste (ARCEP- Bénin),,Autorité de Régulation des Communications Electroniques et de la Poste (ARCEP- Bénin),,ITU estimate.
Bermuda,,,,,,18'487,23'643,28'799,33'955,40'000,40'100,,,40'100,34'731,30'000,,,,,,,,28.82,36.75,,52.51,61.72,61.74,,,61.37,53.06,45.75,,,,,,,,,,,,,,,,,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,,,,,ITU estimate.,,Ministry of Economic Development| Department of Telecommunications,,ITU estimate.,,
Bhutan,,,,,,,,,2'060,3'378,8'675,13'233,16'766,20'481,24'979,27'874,31'000,,,,,,,,,,0.30,0.48,1.21,1.81,2.26,2.72,3.26,3.59,3.94,,,,,,,,,,,,,,,,,,,Bhutan InfoComm and Media Authority.,,Ministry of Information & Communications,,Ministry of Information & Communications,,Ministry of Information & Communications,Fixed broadband in Bhutan is provided via ADSL/DSL networks only.,Ministry of Information & Communications,Fixed broadband provided through ADSL/DSL and Fiber links,Ministry of Information & Communications,,Ministry of Information & Communications,,Ministry of Information & Communications,Data only for one operator (Bhutan Telecom).,ITU estimate.
Bolivia,,,3'330,5'740,8'723,12'973,17'589,33'977,79'314,96'134,95'948,73'542,116'708,154'098,172'783,180'951,287'589,,,,0.04,0.06,0.09,0.14,0.18,0.35,0.81,0.96,0.94,0.71,1.11,1.44,1.59,1.64,2.57,,,,,,Incl. narrowband susbcriptions (i.e. below 256kbit/s).,,Incl. narrowband susbcriptions (i.e. below 256kbit/s).,,Incl. narrowband susbcriptions (i.e. below 256kbit/s).,,Incl. narrowband susbcriptions (i.e. below 256kbit/s).,,Incl. narrowband susbcriptions (i.e. below 256kbit/s).,,Incl. narrowband susbcriptions (i.e. below 256kbit/s).,Autoridad de Fiscalización y Control Social de Telecomunicaciones y Transportes,Incl. narrowband susbcriptions (i.e. below 256kbit/s).,Autoridad de Fiscalización y Control Social de Telecomunicaciones y Transportes,Incl. narrowband susbcriptions (i.e. below 256kbit/s).,Autoridad de Fiscalización y Control Social de Telecomunicaciones y Transportes,Incl. narrowband susbcriptions (i.e. below 256kbit/s).,Autoridad de Regulación y Fiscalización de Telecomunicaciones y Transportes,"Break in comparability. In previous years both, subscriptions below and above 256kbit/s were included.",Autoridad de Regulación y Fiscalización de Telecomunicaciones y Transportes,As of 2012 it includes also FTTH.,Autoridad de Regulación y Fiscalización de Telecomunicaciones y Transportes,,Autoridad de Regulación y Fiscalización de Telecomunicaciones y Transportes,,Autoridad de Regulación y Fiscalización de Telecomunicaciones y Transportes,,Autoridad de Regulación y Fiscalización de Telecomunicaciones y Transportes,,Autoridad de Regulación y Fiscalización de Telecomunicaciones y Transportes
Bosnia and Herzegovina,27,68,213,1'500,6'637,13'702,40'000,84'691,188'460,292'113,390'902,430'247,469'397,516'104,542'405,634'987,662'468,0,0.00,0.00,0.01,0.04,0.17,0.35,1.03,2.19,4.88,7.58,10.16,11.21,12.24,13.48,14.18,16.62,17.37,,,Public Enterprise PTT Bosnia and Herzegovina (PTT BIH).,,Public Enterprise PTT Bosnia and Herzegovina (PTT BIH).,,Communications Regulatory Agency B & H.,,Communications Regulatory Agency B & H.,,Communications Regulatory Agency B & H.,,Communications Regulatory Agency B & H.,,Communications Regulatory Agency B & H.,,Communications Regulatory Agency B & H.,,Communications Regulatory Agency B & H.,,Communication Regulatory Agency,,Communications Regulatory Agency B & H,,Communications Regulatory Agency B & H,,Communications Regulatory Agency B & H,,Communications Regulatory Agency B & H,,Communications Regulatory Agency B & H,,Communications Regulatory Agency B & H,,Communications Regulatory Agency B & H
Botswana,,,,,,1'600,1'800,3'540,8'900,10'000,11'978,19'125,22'236,21'590,33'290,36'845,59'057,,,,,,,0.09,0.09,0.18,0.46,0.51,0.61,0.96,1.11,1.07,1.63,1.79,2.85,,,,,,,,,,,,,,,,,Botswana Telecommunications Authority (BTA).,,Botswana Telecommunications Authority (BTA).,,ITU estimate.,,Botswana Telecommunications Authority,,Botswana Telecommunications Authority,,Botswana Communications Regulatory Authority (BOCRA),,Botswana Communications Regulatory Authority (BOCRA),,Botswana Communications Regulatory Authority (BOCRA),,Botswana Communications Regulatory Authority (BOCRA),01/12/2016,Botswana Communications Regulatory Authority (BOCRA)
Brazil,100'000,331'000,731'000,966'252,3'157'466,3'233'800,4'767'007,7'609'452,10'016'914,11'729'995,14'100'890,17'833'051,19'119'646,21'360'635,23'588'919,24'944'252,26'626'860,0.057304982,0.06,0.19,0.41,0.53,1.72,1.74,2.53,4.01,5.22,6.06,7.22,9.06,9.62,10.66,11.68,12.25,12.97,,,,,,,,,,,,"Refers to speed greater than, or equal to 64kbit/s in one or both directions.",,"Refers to speed greater than, or equal to 64kbit/s in one or both directions.",,"Refers to speed greater than, or equal to 64kbit/s in one or both directions.",Anatel. ,"Refers to speed greater than, or equal to 64kbit/s in one or both directions.",Agência Nacional de Telecomunicaç?es,"Refers to speed greater than, or equal to 64kbit/s in one or both directions.",Agência Nacional de Telecomunicaç?es,"Refers to speed greater than, or equal to 64kbit/s in one or both directions.",Agência Nacional de Telecomunicaç?es,,Agência Nacional de Telecomunicaç?es,,Agência Nacional de Telecomunicaç?es,Estimate.,Agência Nacional de Telecomunicaç?es,Estimate.,Agência Nacional de Telecomunicaç?es,Estimate.,Agência Nacional de Telecomunicaç?es,,Agência Nacional de Telecomunicaç?es
British Virgin Islands,,,,,,,,,,7'690,6'879,7'301,7'435,6'182,6'393,6'660,,,,,,,,,,,,28.97,25.27,26.33,26.47,21.81,22.38,23.13,,,,,,,,,,,,,,,,,,,,,,Telecommunications Regulatory Commission,,Telecommunications Regulatory Commission,,Telecommunications Regulatory Commission,,Telecommunications Regulatory Commission,,Telecommunications Regulatory Commission,,Telecommunications Regulatory Commission,,Telecommunications Regulatory Commission,,
Brunei Darussalam,,1'896,2'757,3'838,6'262,8'126,8'964,11'617,16'891,20'029,21'699,23'185,19'849,27'557,30'259,34'425,36'116,,,0.56,0.80,1.09,1.74,2.21,2.39,3.05,4.35,5.08,5.42,5.70,4.81,6.60,7.15,8.03,8.33,,,,,,,,,,,,,,,,,AiTi.,,AiTi.,,AiTi.,,Authority for Info-communications Technology Industry of Brunei Darussalam,,ITU research based on AiTi website.,,Authority for Info-communications Technology Industry of Brunei Darussalam,,Authority for Info-communications Technology Industry of Brunei Darussalam,,Authority for Info-communications Technology Industry of Brunei Darussalam,,Authority for Info-communications Technology Industry of Brunei Darussalam,,Authority for Info-communications Technology Industry of Brunei Darussalam
