,Fixed-broadband subscriptions,,,,,,,,,,,,,,,,,,Fixed-broadband subscriptions per 100 inhabitants,,,,,,,,,,,,,,,,,,Metadata for fixed-broadband subscriptions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,35'000,134'000,273'500,491'100,800'000,1'174'200,1'429'000,1'617'000,1'618'000,1'565'600,1'559'400,1'606'000,1'647'600,1'720'200,1'758'500,1'729'897,1'710'000,1,0.68,2.58,5.26,9.42,15.30,22.38,27.13,30.55,30.42,29.30,29.05,29.80,30.46,31.70,32.30,31.68,31.22,,,Ministry of Transport and Communications.,,Ministry of Transport and Communications.,,Ministry of Transport and Communications.,,Ministry of Transport and Communications.,,Ministry of Transport and Communications.,,Finnish Communications Regulatory Authority.,,OECD.,,Finnish Communications Regulatory Authority.,From this year excl. FW.,Finnish Communications Regulatory Authority.,March 2011.,Finnish Communications Regulatory Authority (FICORA),September 2012.,Finnish Communications Regulatory Authority (FICORA),,Finnish Communications Regulatory Authority (FICORA),,Finnish Communications Regulatory Authority (FICORA),,Finnish Communications Regulatory Authority (FICORA),,Finnish Communications Regulatory Authority (FICORA),,Finnish Communications Regulatory Authority (FICORA),,Finnish Communications Regulatory Authority (FICORA)
France,196'601,601'500,1'655'000,3'569'381,6'561'035,9'471'000,12'711'000,15'750'000,17'830'000,19'852'000,21'337'000,22'749'000,23'980'000,24'940'000,25'969'000,26'867'000,27'664'000,0,0.33,1.01,2.76,5.90,10.76,15.41,20.55,25.32,28.50,31.57,33.74,35.78,37.51,38.79,40.17,41.34,42.35,,,Autorité de Régulation des Communications Electroniques et des Postes (ARCEP).,,Autorité de Régulation des Communications Electroniques et des Postes (ARCEP).,,Autorité de Régulation des Communications Electroniques et des Postes (ARCEP).,,Autorité de Régulation des Communications Electroniques et des Postes (ARCEP).,,Autorité de Régulation des Communications Electroniques et des Postes (ARCEP).,,Autorité de Régulation des Communications Electroniques et des Postes (ARCEP).,,Autorité de Régulation des Communications Electroniques et des Postes (ARCEP).,,ARCEP,512kbps or higher.,ARCEP,,Autorité de Régulation des Communications électroniques et des postes,,Autorité de Régulation des Communications électroniques et des postes,,Autorité de Régulation des Communications électroniques et des postes,,Autorité de Régulation des Communications électroniques et des postes,,Autorité de Régulation des Communications électroniques et des postes,,Autorité de Régulation des Communications électroniques et des postes,,Autorité de Régulation des Communications électroniques et des postes,,Autorité de Régulation des Communications électroniques et des postes
French Guiana [included in France data],,,,,,,,,,30'186,,,,,,,,,,,,,,,,,,13.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARCEP,,,,,,,,,,,,,,
French Polynesia,,25,32,946,4'551,11'000,18'234,23'600,27'671,30'030,32'247,36'000,40'200,44'900,49'740,51'908,55'291,,,0.01,0.01,0.38,1.81,4.32,7.07,9.06,10.53,11.31,12.03,13.29,14.68,16.22,17.77,18.36,19.36,,,,,"Ministère de l'Economie, des Finances et de l'Industrie.",,"Ministère de l'Economie, des Finances et de l'Industrie.",,"Ministère de l'Economie, des Finances et de l'Industrie.",,"Ministère de l'Economie, des Finances et de l'Industrie.",,Service des Postes et Télécommunications.,128kbit/s or more.,Service des Postes et Télécommunications.,,Service des Postes et Télécommunications,,Service des Postes et Télécommunications.,,Service des Postes et Télécommunications.,,Service des Postes et Télécommunications,,Agence de Réglementation du Numérique,,,,,,,,Direction générale de l'économie numérique (DGEN),,Direction générale de l'économie numérique (DGEN)
Gabon,,,,170,650,1'530,1'763,1'983,2'200,3'697,4'082,4'500,5'000,8'900,10'800,11'082,13'115,,,,,0.01,0.05,0.11,0.12,0.14,0.15,0.24,0.26,0.28,0.31,0.53,0.63,0.63,0.73,,,,,,,,,,,,,,,,,ITU estimate.,,ITU estimate. ,,Gabon Télécom,,Gabon Télécom,,ITU estimate. ,,ITU estimate.,,Gabon Télécom,,ITU estimate.,,Gabon Télécom,,Autorité de Régulation des Communications Électroniques et des Postes 
Gambia,,,,,36,71,,269,300,300,350,437,500,438,2'743,3'573,3'750,,,,,,0.00,0.00,,0.02,0.02,0.02,0.02,0.03,0.03,0.02,0.14,0.18,0.18,,,,,,,,,,,ITU estimate.,,The Gambia Public Utilities Regulatory Authority.,,,,The Gambia Public Utilities Regulatory Authority.,,The Gambia Public Utilities Regulatory Authority.,,ITU estimate.,,The Gambia Public Utilities Regulatory Authority,,The Gambia Public Utilities Regulatory Authority,,ITU estimate.,,The Gambia Public Utilities Regulatory Authority,,The Gambia Public Utilities Regulatory Authority,,The Gambia Public Utilities Regulatory Authority,,The Gambia Public Utilities Regulatory Authority
Georgia,,430,920,1'410,1'900,2'390,27'000,46'735,112'131,150'000,182'432,248'504,463'052,516'931,600'826,634'572,677'618,0,,0.01,0.02,0.03,0.04,0.05,0.61,1.06,2.54,3.41,4.16,5.68,10.62,11.91,13.90,14.74,15.81,,,,,ITU estimate.,,Georgian National Communications Commission (GNCC).,,Georgian National Communications Commission (GNCC).,,ITU estimate.,,ITU estimate.,,Georgian National Communications Commission (GNCC).,,Georgian National Communications Commission (GNCC).,ITU calculation.,Georgian National Communications Commission.,,ITU estimate.,,Georgian National Communications Commission,,Georgian National Communications Commission,,Georgian National Communications Commission,,Georgian National Communications Commission,,Georgian National Communications Commission,,Georgian National Communications Commission,,Georgian National Communications Commission
Germany,265'000,2'100'000,3'205'000,4'470'000,7'000'000,10'786'800,14'977'200,19'751'400,22'710'136,24'964'600,26'161'950,27'257'096,27'956'700,28'641'961,29'572'818,30'707'429,31'377'178,,0.32,2.51,3.83,5.33,8.35,12.87,17.89,23.63,27.24,30.01,31.51,32.88,33.76,34.62,35.78,37.19,38.05,,,"Bundesnetzagentur (BNetzA, formerly Regulierungsbehörde für Telekommunikation und Post).",,"Bundesnetzagentur (BNetzA, formerly Regulierungsbehörde für Telekommunikation und Post).",,"Bundesnetzagentur (BNetzA, formerly Regulierungsbehörde für Telekommunikation und Post).",,"Bundesnetzagentur (BNetzA, formerly Regulierungsbehörde für Telekommunikation und Post).",,"Bundesnetzagentur (BNetzA, formerly Regulierungsbehörde für Telekommunikation und Post).",,"Bundesnetzagentur (BNetzA, formerly Regulierungsbehörde für Telekommunikation und Post).",,OECD.,,"Bundesnetzagentur (BNetzA, formerly Regulierungsbehörde für Telekommunikation und Post).",,Bundesnetzagentur (BNetzA) / Federal Network Agency,,Bundesnetzagentur (BNetzA) / Federal Network Agency,,Bundesnetzagentur (BNetzA) / Federal Network Agency,,Bundesnetzagentur (BNetzA) / Federal Network Agency,,Bundesnetzagentur (BNetzA) / Federal Network Agency,,Bundesnetzagentur (BNetzA) / Federal Network Agency,,Bundesnetzagentur (BNetzA) / Federal Network Agency,,Bundesnetzagentur (BNetzA) / Federal Network Agency,Data as of 30/06/2016,Bundesnetzagentur (BNetzA) / Federal Network Agency
Ghana,,,,,900,1'904,12'749,16'197,22'980,28'401,52'085,65'149,68'132,68'795,70'170,73'132,86'596,,,,,,0.00,0.01,0.06,0.07,0.10,0.12,0.21,0.26,0.27,0.27,0.27,0.27,0.31,,,,,,,,,,,ITU estimate.,,National Communications Authority (NCA).,,National Communications Authority (NCA).,,National Communications Authority (NCA).,,National Communications Authority (NCA).,,National Communications Authority,,National Communications Authority,,National Communications Authority,,National Communications Authority,,National Communications Authority,,National Communications Authority,,National Communications Authority,,National Communications Authority
Gibraltar,,,,,,,,,,9'297,10'433,11'284,11'979,,13'000,15'577,16'404,,,,,,,,,,,31.77,35.66,38.56,40.91,,44.32,53.07,55.86,,,,,,,,,,,,,,,,,,,,,Gibtelecom.,,Gibraltar Regulatory Authority,,Gibraltar Regulatory Authority,,Gibraltar Regulatory Authority,,,,Gibraltar Regulatory Authority,,Gibraltar Regulatory Authority,,Gibraltar Regulatory Authority
Greece,,,,10'476,51'455,160'113,488'180,1'017'475,1'507'000,1'916'630,2'252'653,2'464'282,2'689'428,2'913'191,3'156'071,3'439'034,3'615'029,,,,,0.09,0.47,1.45,4.42,9.19,13.60,17.27,20.28,22.16,24.18,26.18,28.36,30.91,32.51,,,,,,,,,Hellenic Telecommunications & Post Commission (EETT).,,Hellenic Telecommunications & Post Commission (EETT).,,Hellenic Telecommunications & Post Commission (EETT).,,Hellenic Telecommunications & Post Commission (EETT).,,Hellenic Telecommunications & Post Commission (EETT).,,Hellenic Telecommunications & Post Commission (EETT).,,Hellenic Telecommunications & Post Commission,,Hellenic Telecommunications & Post Commission,,Hellenic Telecommunications & Post Commission,,Hellenic Telecommunications & Post Commission,,Hellenic Telecommunications & Post Commission,,Hellenic Telecommunications & Post Commission,There are 63.267 lines that are not classified by the operators to indicated speed categories.,Hellenic Telecommunications & Post Commission,,Hellenic Telecommunications & Post Commission
Greenland,,,,119,3'320,7'128,9'216,10'547,12'013,12'540,12'390,11'891,11'380,10'800,10'400,10'000,,,,,,0.21,5.84,12.52,16.19,18.56,21.20,22.17,21.91,21.00,20.04,18.95,18.19,17.46,,,,,,,,,,,,,,,,,,TELE Greenland,,TELE Greenland,,TELE Greenland,,Tele Greenland A/S,,Tele Greenland A/S,,Tele Greenland A/S,,ITU estimate.,,ITU estimate.,,ITU estimate.,,
Grenada,,,563,,609,3'222,5'544,7'600,8'954,12'371,14'437,14'674,16'000,18'000,18'811,19'757,20'821,,,,0.55,,0.59,3.13,5.37,7.34,8.62,11.86,13.79,13.97,15.17,17.00,17.70,18.52,19.45,,,,,,,,,,,,,,,,,ITU estimate.,,National Telecommunications Regulatory Commission,,National Telecommunications Regulatory Commission,,National Telecommunications Regulatory Commission,,National Telecommunications Regulatory Commission,,National Telecommunications Regulatory Commission,,National Telecommunications Regulatory Commission,,ECTEL.,,ECTEL,,National Telecommunications Regulatory Commission
Guadeloupe [included in France data],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guam,,1'750,,,,,,2'700,2'700,3'000,3'000,,,3'000,3'000,,,,,1.12,,,,,,1.71,1.71,1.89,1.88,,,1.82,1.79,,,,,,,Guam Telephone Authority.,,,,,,,,,,,,World broadband statistics.,,ITU estimate. ,,ITU estimate.,,ITU estimate.,,,,,,ITU estimate.,,ITU estimate.,,,,
Guatemala,,,,,,27'106,39'000,57'000,94'500,156'000,259'000,,280'302,352'826,433'734,459'847,506'000,,,,,,,0.21,0.30,0.43,0.69,1.12,1.81,,1.86,2.28,2.73,2.83,3.04,,,,,,,,,,,,,,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,,Does not incl. data from all cable operators. ,Superintendencia de Telecomunicaciones (SIT),,Superintendencia de Telecomunicaciones (SIT),,Superintendencia de Telecomunicaciones (SIT),,Superintendencia de Telecomunicaciones (SIT),,ITU estimate.
Guernsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,,,,,,,,,,,500,600,700,800,900,1'000,1'100,,,,,,,,,,,,0.00,0.01,0.01,0.01,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,Ministère de la Communication et des Nouvelles Technologies de l'Information,,ITU estimate. ,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate.
Guinea-Bissau,,,,,,,,,,,800,1'000,1'203,1'452,1'395,1'051,721,,,,,,,,,,,,0.05,0.06,0.07,0.09,0.08,0.06,0.04,,,,,,,,,,,,,,,,,,,,,,,ITU estimate.,,,Fixed wimax,Autoridade Reguladora Nacional das TIC,Fixed wimax,Autoridade Reguladora Nacional das TIC,Fixed wimax,Autoridade Reguladora Nacional das TIC,Fixed wimax. Includes 861 subscriptions at speeds of 128-255 kbps,Autoridade Reguladora Nacional das TIC,Débitos > 128 e ? 256Kbps = 721 (Fixed wimax )- Operator Orange only,Autoridade Reguladora Nacional das TIC
Guyana,,,,,,2'000,,2'362,5'084,6'823,11'193,20'540,29'981,36'900,45'225,53'687,62'000,,,,,,,0.26,,0.31,0.66,0.87,1.42,2.60,3.77,4.61,5.63,6.65,7.64,,,,,,,,,,,,,,,,,National Frequency Management Unit,,National Frequency Management Unit,,National Frequency Management Unit,,National Frequency Management Unit,,National Frequency Management Unit,,National Frequency Management Unit,,National Frequency Management Unit,,National Frequency Management Unit,,National Frequency Management Unit,,ITU estimate.
Haiti,,,,,,,,,,,,,,,0,1'348,1'348,7,,,,,,,,,,,,,,,0.00,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Conseil National des Télécommunications,,Conseil National des Télécommunications,,Conseil National des Télécommunications
Honduras,,,,,,,,,,,1'000,57'290,61'277,68'991,157'852,197'379,220'055,0,,,,,,,,,,,0.01,0.74,0.77,0.85,1.91,2.34,2.56,,,,,,,,,,,,,,,,,,,,,,,ITU estimate.,"Speeds greater than, or equal to, 512 Kbit/s.",Comisión Nacional de Telecomunicaciones (CONATEL),"Speeds greater than, or equal to, 512 Kbit/s.",Comisión Nacional de Telecomunicaciones (CONATEL),"Speeds greater than, or equal to, 512 Kbit/s.",Comisión Nacional de Telecomunicaciones (CONATEL),,ITU estimate.,,ITU estimate.,,Comisión Nacional de Telecomunicaciones (CONATEL)
"Hong Kong, China",444'450,716'435,1'038'995,1'267'966,1'517'741,1'659'098,1'796'240,1'898'934,1'935'485,2'053'374,2'167'714,2'299'000,2'255'039,2'235'223,2'281'275,2'347'833,2'611'682,1,6.50,10.39,15.03,18.36,22.01,24.06,25.99,27.38,27.78,29.30,30.75,32.40,31.55,31.03,31.42,32.10,35.46,,,,,,,,,,,,,,,,,Office of the Telecommunications Authority (OFTA).,,Office of the Telecommunications Authority,,Office of the Telecommunications Authority,,Office of the Telecommunications Authority,,Office of the Communications Authority,,,,,,Office of the Communications Authority,,Office of the Communications Authority,,Office of the Communications Authority
Hungary,3'400,31'384,111'458,264'311,411'111,651'689,1'199'190,1'454'511,1'770'574,1'976'723,2'159'421,2'313'092,2'396'035,2'597'159,2'580'537,2'718'794,2'814'524,,0.03,0.31,1.10,2.61,4.06,6.45,11.90,14.46,17.62,19.71,21.56,23.14,24.02,26.09,25.98,27.43,28.46,,,National Communications Authority.,,National Communications Authority.,,National Communications Authority.,,National Communications Authority.,,National Communications Authority.,,National Communications Authority.,,National Communications Authority.,,National Communications Authority.,,National Communications Authority.,,National Media and Infocommunications Authority,,National Media and Infocommunications Authority,,National Media and Infocommunications Authority,,National Media and Infocommunications Authority,,National Media and Infocommunications Authority,,National Media and Infocommunications Authority,,National Media and Infocommunications Authority,,National Media and Infocommunications Authority
Iceland,2'358,10'424,24'270,41'571,55'764,78'017,87'738,100'026,106'017,107'072,109'212,111'584,113'420,117'467,119'647,124'436,128'023,0,0.84,3.67,8.46,14.34,19.02,26.29,29.18,32.80,34.27,34.12,34.34,34.65,34.81,35.65,35.92,36.95,37.62,,,Iceland Telecom Ltd.,,Iceland Telecom Ltd.,,Iceland Telecom Ltd.,,Iceland Telecom Ltd.,,Post and Telecom Administration.,,Post and Telecom Administration.,,OECD.,,Post and Telecom Administration.,,Post and Telecom Administration,,Post and Telecom Administration,,Post and Telecom Administration,,Post and Telecom Administration,,Post and Telecom Administration,,Post and Telecom Administration,,Post and Telecom Administration,,Post and Telecom Administration,,Post and Telecom Administration
India,,50'000,82'409,140'362,235'000,1'348'000,2'300'000,3'130'000,5'280'000,7'745'710,10'990'000,13'351'187,14'982'178,14'927'670,15'750'000,16'942'750,18'733'454,0,,0.00,0.01,0.01,0.02,0.12,0.20,0.27,0.45,0.65,0.91,1.09,1.21,1.19,1.24,1.32,1.44,,,,,Department of Telecommunications (DOT). Ministry of Communications and Information Technology.,,Department of Telecommunications (DOT). Ministry of Communications and Information Technology.,,Department of Telecommunications (DOT). Ministry of Communications and Information Technology.,,Department of Telecommunications (DOT). Ministry of Communications and Information Technology.,,Department of Telecommunications (DOT). Ministry of Communications and Information Technology.,,Department of Telecommunications (DOT). Ministry of Communications and Information Technology.,,Department of Telecommunications (DOT). Ministry of Communications and Information Technology.,,TRAI.,December.,TRAI.,December.,TRAI,December 2011,Department of Telecommunications,December 2012,Department of Telecommunications,"December 2013.
These are the subscriptions with the minimum download speed of 512 kbps. This is as per the revised definition of Broadband in India with effect from 18th July 2013.",Department of Telecommunications,"December 2014.
These are the subscriptions with the minimum download speed of 512 kbps. This is as per the revised definition of Broadband (>= 512kbps) in India ",Department of Telecommunications,"December 2015.
 Subscriptions with download speeds of at least 512 Kbps.",Department of Telecommunications,"December 2016.
 Subscriptions with download speeds of at least 512 Kbps.",Department of Telecommunications
Indonesia,4'000,15'000,38'300,61'600,84'900,108'200,194'367,778'770,981'562,1'863'821,2'280'316,2'736'379,2'983'000,3'251'800,3'400'000,3'983'000,4'897'860,,0.00,0.01,0.02,0.03,0.04,0.05,0.09,0.34,0.42,0.78,0.95,1.12,1.21,1.30,1.34,1.56,1.89,,,"Directorate General of Posts and Telecommunications (POSTEL), PT Indosat, PT Telekom.",,"Directorate General of Posts and Telecommunications (POSTEL), PT Indosat, PT Telekom.",,"Directorate General of Posts and Telecommunications (POSTEL), PT Indosat, PT Telekom.",,ITU estimate.,,ITU estimate.,,ITU estimate.,,"Directorate General of Posts and Telecommunications (POSTEL), PT Indosat, PT Telekom.",,"Directorate General of Posts and Telecommunications (POSTEL), PT Indosat, PT Telekom.",Data Revised,"Directorate General of Posts and Telecommunications (POSTEL), PT Indosat, PT Telekom.",,Ministry of Communication and Information Technology,,Ministry of Communication and Information Technology,Estimate,Ministry of Communication and Information Technology,,ITU estimate.,,ITU estimate.,,Ministry of Communication and Information Technology,,ITU estimate.,,MCIT.
Iran (I.R.),176,661,16'171,18'700,,,100'000,200'000,300'000,400'000,987'549,2'119'708,3'803'692,5'161'156,7'425'807,8'633'861,9'318'943,,0.00,0.00,0.02,0.03,,,0.14,0.28,0.41,0.54,1.33,2.81,4.98,6.66,9.46,10.86,11.58,,,Ministry of Information and Communications Technology.,,Ministry of Information and Communications Technology.,,Ministry of Information and Communications Technology.,,Communications Regulatory Authority (CRA).,,,,,,Communications Regulatory Authority (CRA).,,ITU estimate.,,Communications Regulatory Authority (CRA).,,ITU estimate.,,ITU estimate.,,Iran Information Technology Organization,,Iran Information Technology Organization,,Iran Information Technology Organization,,Information Technology Organization of Iran (ITO),,Information Technology Organization of Iran (ITO),,Information Technology Organization of Iran (ITO)
Iraq,,,,,,,26,98,54,121,3'117,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.01,,,,,,,,,,,,,,,,,,,,,,,Iraqi Telecommunications and Post Company,,Iraqi Telecommunications and Post Company,,Iraqi Telecommunications and Post Company,,Ministry of Communications,,,,,,,,,,,,
Ireland,,,10'600,41'800,152'100,322'500,561'700,758'722,891'243,976'381,1'019'964,1'070'776,1'112'082,1'189'212,1'258'758,1'309'467,1'360'309,0,,,0.27,1.04,3.72,7.76,13.29,17.68,20.48,22.14,22.83,23.67,24.30,25.70,26.91,27.70,28.48,,,,,,Data is not collected by speed.,ComReg.,,ComReg.,,ComReg.,,ComReg.,,ComReg.,From this year excluding fixed wireless and satellite.,Commission for Communications Regulation.,,Commission for Communications Regulation (ComReg),,Commission for Communications Regulation (ComReg),,Commission for Communications Regulation (ComReg),,Commission for Communications Regulation (ComReg),,Commission for Communications Regulation,,Commission for Communications Regulation,,Commission for Communications Regulation,,Commission for Communications Regulation,,Commission for Communications Regulation
Israel,,43'865,231'663,633'100,980'000,1'229'626,1'421'000,1'528'500,1'684'000,1'723'000,1'762'000,1'879'029,1'937'000,2'003'000,2'131'000,2'173'000,2'258'000,,,0.72,3.71,9.97,15.15,18.62,21.02,22.06,23.70,23.69,23.75,24.91,25.34,25.90,27.24,27.44,28.13,,,,,Ministry of Communications.,,Ministry of Communications.,,Ministry of Communications.,,Ministry of Communications.,,Ministry of Communications.,,Ministry of Communications.,,World broadband statistics.,,Ministry of Communications.,,ITU estimate.,,ITU estimate.,,Ministry of Communications.,,Ministry of Communications,,Ministry of Communications,Incl. DSL and cable.,Ministry of Communications,Dec. 2015 - Inc. DSL and cable.,Ministry of Communications,Dec. 2016 - Inc. DSL and cable.,Ministry of Communications
Italy,115'000,390'000,850'000,2'250'000,4'724'500,6'822'210,8'497'422,10'122'126,11'276'262,12'084'537,13'098'028,13'518'710,13'763'362,14'012'976,14'373'844,14'900'171,15'563'278,1,0.20,0.68,1.48,3.89,8.11,11.63,14.38,17.02,18.83,20.07,21.65,22.26,22.61,22.98,23.54,24.37,25.43,,,Telecom Italia. Ministry of Communications.,,Telecom Italia. Ministry of Communications.,,Telecom Italia. Ministry of Communications.,,Telecom Italia. Ministry of Communications.,,Telecom Italia. Ministry of Communications.,,Telecom Italia. Ministry of Communications.,,Ministry of Economic Development,,Ministry of Economic Development,,Ministry of ECONOMIC DEVELOPMENT - dep. of Communications,,Ministry of ECONOMIC DEVELOPMENT - dep. of Communications,,Ministry of ECONOMIC DEVELOPMENT - dep. of Communications,Source: Agcom Quaterly Observatory/CoCom.,Ministry of ECONOMIC DEVELOPMENT - dep. of Communications,Source: Agcom Observatory/CoCom.,Ministry of ECONOMIC DEVELOPMENT - dep. of Communications,Source: Quarterly Observatory,Ministry of ECONOMIC DEVELOPMENT - dep. of Communications,,AGCOM,Source: AGCOM,Ministry of Economic Development,Source: AGCOM,Ministry of Economic Development
Jamaica,,3'235,9'000,9'000,27'000,45'000,68'243,92'768,97'323,112'201,116'685,118'269,123'046,140'816,151'554,228'890,286'068,,,0.12,0.34,0.34,1.01,1.68,2.53,3.43,3.58,4.11,4.26,4.29,4.44,5.06,5.41,8.14,10.12,,,,,ITU estimate.,,Office of Utilities Regulation.,,Office of Utilities Regulation.,,ITU estimate.,,Office of Utilities Regulation.,,Office of Utilities Regulation.,,Office of Utilities Regulation.,,Office of Utilities Regulation,,Office of Utilities Regulation,,Office of Utilities Regulation,,Office of Utilities Regulation,,Office of Utilities Regulation,,Office of Utilities Regulation,,Office of Utilities Regulation,,Office of Utilities Regulation,,Office of Utilities Regulation
Japan,854'655,3'835'000,9'397'426,14'917'165,19'557'146,23'301'105,26'438'867,28'303'003,30'117'679,32'863'203,34'101'778,35'696'214,36'132'405,36'918'650,37'788'929,38'872'579,39'842'058,,0.68,3.04,7.44,11.79,15.43,18.35,20.80,22.24,23.66,25.80,26.78,28.04,28.39,29.04,29.76,30.65,31.47,,,Ministry of Internal Affairs and Communications (MIC); Telecommunications Carriers Associations (TCA).,,Ministry of Internal Affairs and Communications (MIC); Telecommunications Carriers Associations (TCA).,,Ministry of Internal Affairs and Communications (MIC); Telecommunications Carriers Associations (TCA).,,Ministry of Internal Affairs and Communications (MIC); Telecommunications Carriers Associations (TCA).,,Ministry of Internal Affairs and Communications (MIC); Telecommunications Carriers Associations (TCA).,Dec.,Ministry of Internal Affairs and Communications (MIC); Telecommunications Carriers Associations (TCA).,Dec.,Ministry of Internal Affairs and Communications (MIC); Telecommunications Carriers Associations (TCA).,Dec.,Ministry of Internal Affairs and Communications(MIC),Dec.,Ministry of Internal Affairs and Communications,,Ministry of Internal Affairs and Communications,,Ministry of Internal Affairs and Communications,,Ministry of Internal Affairs and Communications,,Ministry of Internal Affairs and Communications,,Ministry of Internal Affairs and Communications,,Ministry of Internal Affairs and Communications,,Ministry of Internal Affairs and Communications,Dec.2016,Ministry of Internal Affairs and Communications
Jersey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,,409,3'177,4'996,10'424,23'551,48'622,88'818,145'838,237'996,293'276,296'612,300'294,328'382,351'783,320'205,456'610,,,0.01,0.06,0.10,0.20,0.45,0.90,1.57,2.47,3.85,4.54,4.41,4.28,4.51,4.69,4.16,5.84,,,,,Telecommunications Regulatory Commission.,,Telecommunications Regulatory Commission.,,Telecommunications Regulatory Commission.,,Telecommunications Regulatory Commission.,,Telecommunications Regulatory Commission.,,Telecommunications Regulatory Commission.,,Telecommunications Regulatory Commission.,,Telecommunications Regulatory Commission.,,Telecommunications Regulatory Commission.,,Telecommunications Regulatory Commission,,Telecommunications Regulatory Commission,,Telecommunications Regulatory Commission,,Telecommunications Regulatory Commission,,Telecommunications Regulatory Commission,,Telecommunications Regulatory Commission,,Telecommunications Regulatory Commission
Kazakhstan,,,,998,1'997,2'996,30'500,270'370,337'300,577'344,869'600,1'193'400,1'637'300,1'958'823,2'148'000,2'301'000,2'316'300,,,,,0.01,0.01,0.02,0.20,1.76,2.17,3.67,5.46,7.41,10.06,11.91,12.93,13.72,13.68,,,,,,,,,ITU estimate.,,Ministry of Transport and Communications.,,Ministry of Transport and Communications.,,Ministry of Transport and Communications.,,Ministry of Transport and Communications.,,Ministry for Communications and Informations,,Ministry of the Republic of Kazakhstan for Communications and Information,,Ministry for Communications and Information of Republic of Kazakhstan ,,Ministry of Transport and Communications of the Republic of Kazakhstan ,,Ministry of Transport and Communications of the Republic of Kazakhstan ,,"The Committee for Communication, informatization and information of the Ministry for Investment and Development of the Republic of Kazakhstan",,"The Committee for Communication, informatization and information of the Ministry for Investment and Development of the Republic of Kazakhstan",,Ministry of Information and Communication of the Republic of Kazakhstan,Incl. fixed wired and fixed wireless broadband subscriptions.,Ministry of Information and Communication of the Republic of Kazakhstan
Kenya,,,,,,5'399,17'723,17'737,3'282,18'200,6'866,54'144,54'348,74'144,101'813,135'107,157'878,8,,,,,,0.02,0.05,0.05,0.01,0.05,0.02,0.13,0.13,0.17,0.22,0.29,0.33,,,,,,,,,,,,,,,,,Communications Commission of Kenya (CCK).,Decline was due to subscribers switching to wireless technologies.,Communications Commission of Kenya (CCK).,,Communications Commission of Kenya (CCK).,Decline was due to subscribers switching to wireless technologies.,Communications Commission of Kenya (CCK).,Increased fibre connections during the period,Communications Commission of Kenya (CCK).,,Communications Commission of Kenya,,CCK.,,Communications Authority  of Kenya,,Communications Authority  of Kenya,,Communications Authority  of Kenya
Kiribati,,,,,,322,402,504,685,765,846,850,800,700,500,117,80,,,,,,,0.36,0.44,0.54,0.72,0.79,0.87,0.86,0.79,0.68,0.48,0.11,0.07,,,,,,,,,,,,,Telecommunications Authority of Kiribati,,Telecommunications Authority of Kiribati,,Telecommunications Authority of Kiribati,,Telecommunications Authority of Kiribati,,Telecommunications Authority of Kiribati,,Telecommunications Authority of Kiribati,,ITU estimate. ,,ITU estimate.,,ITU estimate.,,ITU estimate.,,"Ministry of Information, Communication, Transport and Tourism Development",,ITU estimate.
Korea (Rep.),3'870'000,7'818'020,10'405'486,11'178'499,11'921'439,12'190'711,14'042'698,14'709'998,15'474'931,16'348'571,17'194'272,17'859'522,18'252'661,18'737'514,19'198'934,20'024'419,20'555'683,,8.42,16.92,22.43,23.99,25.47,25.92,29.69,30.92,32.33,33.94,35.49,36.65,37.25,38.04,38.78,40.25,41.13,,,Ministry of Information and Communication.,,Ministry of Information and Communication.,,KCC.,,Ministry of Information and Communication.,,Ministry of Information and Communication.,,Ministry of Information and Communication.,,OECD.,,"Korea Communications Commission, Rep of Korea",,Korea Communications Commission,,Korea Communications Commission,,Korea Communications Commission,,Korea Communications Commission,,"Ministry of Science, ICT and Future Planning",,"Ministry of Science, ICT and Future Planning",,"Ministry of Science, ICT and Future Planning",,"Ministry of Science, ICT and Future Planning",,"Ministry of Science, ICT and Future Planning"
